grupo	nome	destino	origem	verificacao	tamanho_aprox	licenca
programa	Kiwix (kiwix-tools, serve os .zim)	Kiwix	https://download.kiwix.org/release/kiwix-tools/	sha256-registra	20 MB	GPL-3.0
programa	7-Zip (portatil)	Ferramentas\7-Zip	https://www.7-zip.org/download.html	sha256-registra	5 MB	LGPL
programa	Calibre Portable (biblioteca + pdftotext/pdftoppm)	Ferramentas\Calibre Portable	https://calibre-ebook.com/download_portable	sha256-registra	400 MB	GPL-3.0
programa	NAPS2 (traz o Tesseract com portugues, usado no OCR)	Ferramentas\NAPS2	https://www.naps2.com/download	sha256-registra	200 MB	GPL-2.0 (Tesseract: Apache-2.0)
programa	LibreOffice Portable	Ferramentas\LibreOffice	https://www.libreoffice.org/download/portable-versions/	sha256-registra	700 MB	MPL-2.0
programa	Anki	Ferramentas\Anki	https://apps.ankiweb.net/	sha256-registra	200 MB	AGPL-3.0
programa	Zotero	Ferramentas\Zotero	https://www.zotero.org/download/	sha256-registra	300 MB	AGPL-3.0
programa	JASP	Ferramentas\JASP	https://jasp-stats.org/download/	sha256-registra	1.5 GB	AGPL-3.0
programa	KeePassXC	Ferramentas\KeePassXC	https://keepassxc.org/download/	sha256-registra	80 MB	GPL-2.0
programa	draw.io Desktop	Ferramentas\drawio	https://github.com/jgraph/drawio-desktop/releases	sha256-registra	100 MB	Apache-2.0
programa	SumatraPDF (portatil)	Ferramentas\SumatraPDF	https://www.sumatrapdfreader.org/download-free-pdf-viewer	sha256-registra	10 MB	GPL-3.0
programa	PDF Arranger	Ferramentas\PDFArranger	https://github.com/pdfarranger/pdfarranger/releases	sha256-registra	60 MB	GPL-3.0
programa	R (portatil) + pacotes epiR, epitools, meta, ggplot2	Ferramentas\R	https://cran.r-project.org/bin/windows/base/	sha256-registra	1 GB	GPL-2.0
programa	Epi Info 7	Ferramentas\EpiInfo7	https://www.cdc.gov/epiinfo/support/downloads.html	sha256-registra	300 MB	dominio publico (CDC)
programa	Python 3.12 embeddable (roda os scripts)	Python\python312	https://www.python.org/downloads/windows/	sha256-registra	85 MB	PSF
programa	PortableGit	Ferramentas\git	https://github.com/git-for-windows/git/releases	sha256-registra	385 MB	GPL-2.0
motor	llama.cpp (llama-server, cpu/cuda/vulkan)	Studio\app\llm-backend\win	https://github.com/ggml-org/llama.cpp/releases	sha256-registra	300 MB	MIT
motor	whisper.cpp (whisper-cli, cpu/cuda)	AnythingLLM\whisper	https://github.com/ggml-org/whisper.cpp/releases	sha256-registra	100 MB	MIT
motor	ffmpeg LGPL (converte audio da transcricao)	AnythingLLM\dados\storage\engines\ffmpeg\windows-x64	https://www.gyan.dev/ffmpeg/builds/	sha256-registra	80 MB	LGPL-2.1
aplicativo	AnythingLLM Desktop (os "Documentos")	AnythingLLM	https://anythingllm.com/desktop	sha256-registra	600 MB	MIT
aplicativo	Studio (interface de chat/imagem/voz)	Studio	ver README: o Studio e um aplicativo de terceiro, com correcoes nossas por cima	sha256-registra	1 GB	do fabricante
pacote-python	openzim-mcp, sherpa-onnx, mcp, numpy, piper-tts	Python\python312	pip (PyPI, o pip confere o hash de cada pacote)	pip	300 MB	varia
NAO-DISTRIBUIVEL	Livros (kit saude, guias, best-sellers)	Ferramentas\Calibre Portable\Calibre Library	cada um traz os seus	-	-	direito autoral: uso pessoal
NAO-DISTRIBUIVEL	Dados pessoais (consultas, atendimentos, cofre, senhas)	Documentos, Pasta de atendimentos	nunca sai do pendrive de quem usa	-	-	dado sensivel (LGPD)
